id	Path	Artist	Title	Material	Dimensions	Signature/Inscriptions	Provenance	Source	Accession Number(s)	Name	Description	Artist Sort	Keywords	Height	Width	Foreground R	Foreground B	Foreground G	H	S	V	x	y
AN1869.14	AN1869.14.jpg	Post-Byzantine Artist (17th century)	Icon of The Virgin Blachernitissa	Oil on panel	16.7 x 13 cm		The Revd Greville John Chester	Purchased, 1969	AN1869.14		The Virgin Blachernitissa, sometimes also called Platytera, is so named because the iconographic type originated in the church of the Blachernai at Constantinople. She was portrayed in an orant posture, with a half-figure of the 'pre-eternal' Christ suspended in a medallion in front of her breast. The names of the figures are inscribed in Greek. The red background is characteristic of painting produced in the Near East, where this panel may have originated.	Anonymous, Post-Byzantine Artist 17th century	art, religion, aura, painting, old, ancient, saint, people, god, illustration, church, antique, veil, Gothic, armor, crown, prayer, historic, symbol, chapel	16.7	13	139.0	99.0	52.0	32.0	0.63	0.55	9.561552458824748	-29.830686789913237
AN1872.593	AN1872.593.jpg	Russian Artist (19th century)	Icon Triptych: God the Father and six Saints	Oil on panel	18.7 x 22.2 cm (open); 11.5 cm (closed)		The Revd Greville John Chester	Purchased, 1968	AN1872.593		Small gilded wooden triptych with figures inscribed in Greek, has a note on the verso stating 'Greek triptych of Russian make'. The central portion features a western type of God the Father emerging from a cloud above a separate inset panel with the Church Father Gregory of Nazianzus and the military St Sergius. On the wings stand (on the left) St Euphemia and St Irene and (on the right) two other female saints.	Anonymous, Russian Artist 19th century	art, religion, saint, illustration, aura, Mary, god, painting, people, book, church, cross, holy, kneeling, virgin, crown, Madonna, spirituality, Apostle, robe	18.7	22.2	148.0	100.0	67.0	24.0	0.55	0.58	-3.515608717721742	0.5268440588001141
AN1887.3179	AN1887.3179.jpg	British Artist (19th century)	View of Jerusalem	oil on canvas	25 x 35 cm			Presented by the Revd John Rigaud, 1887	AN1887.3179			Anonymous, British Artist 19th century	no person, painting, art, travel, landscape, print, ancient, architecture, illustration, rock, old, mountain, road, outdoors, nature, building, hill, mine, tourism, religion	25.0	35	141.0	142.0	113.0	62.0	0.2	0.56	10.244068140056891	2.6267183746228646
AN1915.177	AN1915.177.jpg	Italian Artist (16th century?)	Icon of Christological Scenes	Oil on panel	16.2 x 10.6 cm and 17.3 x 11.8 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.177		This panel and its pair, AN1915.178, are each decorated with eight scenes. Here, they are the Annunciation, Visitation, Nativity, Presentation, Christ among the Doctors, the Agony in the Garden, Scourging and Mocking of Christ. The scenes in both panels are typically Roman Catholic and follow in the tradition of the works of Giovanni Maria Scupola, active in late 15th to early 16th-century Otranto. A French label on the reverse states they were acquired in Rome in 1858.	Anonymous, Italian Artist 16th century?	art, painting, religion, saint, god, church, aura, people, Mary, spirituality, illustration, kneeling, cross, holy, veil, temple, print, sculpture, sacred, crown	16.2	10.6	183.0	153.0	129.0	26.0	0.3	0.72	-5.561963242170542	-0.6612795348414807
AN1915.178	AN1915.178.jpg	Italian Artist (16th century?)	Icon of Christological Scenes	Oil on panel	16.2 x 10.6 cm and 17.3 x 11.8 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.178		This panel and its pair, AN1915.177, are each decorated with eight scenes. Here, they are Carrying of the Cross, Crucifixion, Resurrection, Ascension, Virgin among the Apostles, Assumption, Coronation of the Virgin and the Trinity. The scenes in both panels are typically Roman Catholic and follow in the tradition of the works of Giovanni Maria Scupola, active in late 15th to early 16th-century Otranto. A French label on the reverse states they were acquired in Rome in 1858.	Anonymous, Italian Artist 16th century?	religion, art, painting, saint, church, Mary, aura, god, cross, fresco, spirituality, people, gown, kneeling, veil, holy, illustration, Byzantine, book, chapel	16.2	10.6	197.0	178.0	153.0	34.0	0.22	0.77	-5.56654220345922	-0.6957402638008244
AN1915.179	AN1915.179.jpg	Post-Byzantine Artist (16th century?)	Icon Triptych: St John dictating his Gospel and the Annunication	Oil on panel	19 x 10.2 cm (closed); 21.5 cm (open)			Bequeathed by Professor Ingram Bywater, 1915	AN1915.179	Gendle 1980, no. 61	The triptych has an arched top with finial and its central panel framed by twisted columns. The wings are decorated with an Annunciation and the central panel with St John dictating his Gospel to his disciple Prochoros, before the mouth of a cave on the island of Patmos. Both scenes are identified by Greek inscriptions. A handle projects from the reverse side. A nearly identical icon is in the Walters Art Gallery, Baltimore.	Anonymous, Post-Byzantine Artist 16th century?	art, religion, painting, saint, god, church, illustration, cross, Gothic, old, symbol, book, Mary, antique, spirituality, aura, ancient, sculpture, holy, people	19.0	10.2	214.0	200.0	184.0	31.0	0.14	0.84	11.73033978625598	-0.2187327310131013
AN1915.180	AN1915.180.jpg	Nikolaos Tzafouris (active 1487 - 1501)	Icon Triptych: Piet&agrave; with Sts Francis and Mary Magdalen	Tempera on panel	17 x 12 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.180	Mango 2002, pp. 302-3 [Pieta]	The Piet&agrave; on the central panel is flanked by St Francis and Mary Magdalen on the wings, all western subjects. The painter Nikolaos Tzafouris is known from Venetian documents to have been active in Crete. Five of his signed icons survive. This icon is executed in the <i>maniera italiana</i>, as practised by Cretan painters for western commissions. A larger version of the Piet&agrave; panel is in the Benaki Museum, Athens.	Tzafouris, Nikolaos active 1487 - 1501	religion, art, god, saint, Mary, church, aura, painting, veil, Gothic, cross, worship, holy, spirituality, sculpture, ancient, two, religious, people, Renaissance	17.0	12	172.0	152.0	121.0	36.0	0.3	0.67	-3.9268486012197217	0.7279154028344932
AN1915.182	AN1915.182.jpg	Post-Byzantine (19th century)	Icon of St Gerasimos	Oil on panel	11 x 11 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.182		The half length figure of St Gerasimos, identified by a Greek inscription, wears monastic dress and holds his left hand upright. The scroll in his right hand bears an edifying Greek text. A silver revetment of this small icon, stamped <i>delta pi</i>, is preserved.	Post-Byzantine 19th century	art, religion, painting, illustration, saint, aura, people, old, ancient, god, man, antique, print, spirituality, fresco, book, church, woman, Gothic, Mary	11.0	11	170.0	143.0	111.0	32.0	0.35	0.67	4.6434045116838885	4.206116989747892
AN1915.183	AN1915.183.jpg	Russian (18th/19th century)	Icon of St Nicholas	Oil on panel	8.5 x 6.1 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.183		This small icon shows a mitred St Nicholas, his name written in Slavonic, blessing with one hand and holding a staff with the other. He stands in a palatial setting dominated by a red curtain hung against marble walls. At the bottom of the icon a Slavonic inscription gives an illegible painter's name and the date 1808. The painting style is entirely western and modern. A silver revetment (<i>riza</i>) datable to 1850 is preserved.	Russian 18th/19th century	art, religion, saint, god, painting, symbol, illustration, church, holy, old, spirituality, Gothic, decoration, book, ancient, culture, antique, statue, image, religious	8.5	6.1	188.0	191.0	187.0	104.0	0.02	0.75	12.227286418421544	6.87685953658996
AN1915.184	AN1915.184.jpg	Russian (18th/19th century)	Icon of St Nicholas	Oil on panel	16.7 x 12.5 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.184		St Nicholas, his name inscribed in Slavonic, holds a large codex with ornamented cover. He is flanked above by clouds from which emerge the figures of Christ and the Virgin, their names given in Greek. A silver revetment (<i>riza</i>) belonging to this icon and datable to 1817 is preserved.	Russian 18th/19th century	religion, art, saint, aura, painting, church, god, book, illustration, Mary, Gothic, crown, holy, spirituality, fresco, cross, people, old, Apostle, man	16.7	12.5	177.0	160.0	145.0	28.0	0.18	0.69	12.166753630606951	6.828931409193536
